#name,x,y,alt,heading,pitch,roll,f,px,py,k1,k2,k3,k4,t1,t2
cam035,8.682446,-49.240379,-6.0,0.0,-90.0,-169.99995412,43.45584305,0,0,0,0,0,0,0,0
cam034,17.10104,-46.984619,-6.0,0.0,-90.0,-159.99994464,43.45584305,0,0,0,0,0,0,0,0
cam033,25.000032,-43.301258,-6.0,0.0,-90.0,-149.99993651,43.45584305,0,0,0,0,0,0,0,0
cam032,32.139404,-38.3022,-6.0,0.0,-90.0,-139.9999684,43.45584305,0,0,0,0,0,0,0,0
cam031,38.302246,-32.139359,-6.0,0.0,-90.0,-129.9999518,43.45584305,0,0,0,0,0,0,0,0
cam030,43.301285,-24.999977,-6.0,0.0,-90.0,-119.99993276,43.45584305,0,0,0,0,0,0,0,0
cam029,46.984638,-17.100983,-6.0,0.0,-90.0,-109.9999324,43.45584305,0,0,0,0,0,0,0,0
cam028,49.240391,-8.682384,-6.0,0.0,-90.0,-99.99992923,43.45584305,0,0,0,0,0,0,0,0
cam027,50.0,2.3e-05,-6.0,0.0,-90.0,-89.9999427,43.45584305,0,0,0,0,0,0,0,0
cam026,49.240379,8.68243,-6.0,0.0,-90.0,-79.99997462,43.45584305,0,0,0,0,0,0,0,0
cam025,46.984627,17.101021,-6.0,0.0,-90.0,-69.99993006,43.45584305,0,0,0,0,0,0,0,0
cam024,43.301262,25.000015,-6.0,0.0,-90.0,-59.99994379,43.45584305,0,0,0,0,0,0,0,0
cam023,38.302212,32.139389,-6.0,0.0,-90.0,-49.99996418,43.45584305,0,0,0,0,0,0,0,0
cam022,32.139366,38.302238,-6.0,0.0,-90.0,-39.99995345,43.45584305,0,0,0,0,0,0,0,0
cam021,24.999979,43.301285,-6.0,0.0,-90.0,-29.99993355,43.45584305,0,0,0,0,0,0,0,0
cam020,17.100985,46.984634,-6.0,0.0,-90.0,-19.99993066,43.45584305,0,0,0,0,0,0,0,0
cam019,8.682388,49.240398,-6.0,0.0,-90.0,-9.99998858,43.45584305,0,0,0,0,0,0,0,0
cam018,-1.9e-05,50.0,-6.0,0.0,-90.0,0.0,43.45584305,0,0,0,0,0,0,0,0
cam017,-8.682425,49.240376,-6.0,0.0,-90.0,10.00004588,43.45584305,0,0,0,0,0,0,0,0
cam016,-17.101021,46.984627,-6.0,0.0,-90.0,20.00005536,43.45584305,0,0,0,0,0,0,0,0
cam015,-25.000013,43.301262,-6.0,0.0,-90.0,30.0000062,43.45584305,0,0,0,0,0,0,0,0
cam014,-32.139389,38.302216,-6.0,0.0,-90.0,40.0000316,43.45584305,0,0,0,0,0,0,0,0
cam013,-38.302227,32.139374,-6.0,0.0,-90.0,50.0000482,43.45584305,0,0,0,0,0,0,0,0
cam012,-43.301277,24.999996,-6.0,0.0,-90.0,60.00003416,43.45584305,0,0,0,0,0,0,0,0
cam011,-46.984634,17.100998,-6.0,0.0,-90.0,70.00002748,43.45584305,0,0,0,0,0,0,0,0
cam010,-49.240395,8.682404,-6.0,0.0,-90.0,80.00002269,43.45584305,0,0,0,0,0,0,0,0
cam009,-50.0,-3e-06,-6.0,0.0,-90.0,90.0,43.45584305,0,0,0,0,0,0,0,0
cam008,-49.240387,-8.682411,-6.0,0.0,-90.0,99.99997731,43.45584305,0,0,0,0,0,0,0,0
cam007,-46.984631,-17.101006,-6.0,0.0,-90.0,109.99997252,43.45584305,0,0,0,0,0,0,0,0
cam006,-43.301273,-24.999998,-6.0,0.0,-90.0,120.00002314,43.45584305,0,0,0,0,0,0,0,0
cam005,-38.302223,-32.139378,-6.0,0.0,-90.0,130.00003582,43.45584305,0,0,0,0,0,0,0,0
cam004,-32.139381,-38.302223,-6.0,0.0,-90.0,139.9999684,43.45584305,0,0,0,0,0,0,0,0
cam003,-25.0,-43.30127,-6.0,0.0,-90.0,149.9999938,43.45584305,0,0,0,0,0,0,0,0
cam002,-17.101007,-46.984631,-6.0,0.0,-90.0,160.00001204,43.45584305,0,0,0,0,0,0,0,0
cam001,-8.682408,-49.240387,-6.0,0.0,-90.0,170.00001142,43.45584305,0,0,0,0,0,0,0,0
cam000,0.0,-50.0,-6.0,0.0,-90.0,-180.0,43.45584305,0,0,0,0,0,0,0,0
